date,hour,energy_kWh
7/4/2012,14,0.583
7/4/2012,15,0.486
7/4/2012,16,0.947
7/4/2012,17,1.106
7/4/2012,18,0.405
7/4/2012,19,0.387
7/4/2012,20,0.502
7/4/2012,21,0.859
7/4/2012,22,1.417
7/4/2012,23,1.357
7/5/2012,0,0.703
7/5/2012,1,0.52
7/5/2012,2,0.509
7/5/2012,3,0.496
7/5/2012,4,0.528
7/5/2012,5,0.496
7/5/2012,6,0.501
7/5/2012,7,0.822
7/5/2012,8,0.499
7/5/2012,9,0.525
7/5/2012,10,0.724
7/5/2012,11,0.756
7/5/2012,12,0.524
7/5/2012,13,0.572
7/5/2012,14,0.743
7/5/2012,15,0.577
7/5/2012,16,0.486
7/5/2012,17,1.291
7/5/2012,18,1.083
7/5/2012,19,1.075
7/5/2012,20,1.064
7/5/2012,21,1.053
7/5/2012,22,1.041
7/5/2012,23,1.031
7/6/2012,0,1.024
7/6/2012,1,1.021
7/6/2012,2,0.494
7/6/2012,3,0.542
7/6/2012,4,0.681
7/6/2012,5,0.522
7/6/2012,6,0.507
7/6/2012,7,1.01
7/6/2012,8,0.604
7/6/2012,9,1.135
7/6/2012,10,0.638
7/6/2012,11,1.017
7/6/2012,12,0.698
7/6/2012,13,0.931
7/6/2012,14,1.292
7/6/2012,15,1.432
7/6/2012,16,0.92
7/6/2012,17,0.728
7/6/2012,18,0.758
7/6/2012,19,0.742
7/6/2012,20,0.72
7/6/2012,21,0.693
7/6/2012,22,0.663
7/6/2012,23,0.629
7/7/2012,0,0.593
7/7/2012,1,0.556
7/7/2012,2,0.542
7/7/2012,3,0.509
7/7/2012,4,0.549
7/7/2012,5,0.501
7/7/2012,6,0.552
7/7/2012,7,0.486
7/7/2012,8,0.525
7/7/2012,9,0.864
7/7/2012,10,0.537
7/7/2012,11,0.617
7/7/2012,12,0.529
7/7/2012,13,0.524
7/7/2012,14,0.487
7/7/2012,15,0.565
7/7/2012,16,0.487
7/7/2012,17,0.537
7/7/2012,18,0.519
7/7/2012,19,0.526
7/7/2012,20,0.616
7/7/2012,21,0.596
7/7/2012,22,0.974
7/7/2012,23,1.274
7/8/2012,0,0.781
7/8/2012,1,0.494
7/8/2012,2,0.547
7/8/2012,3,0.518
7/8/2012,4,0.535
7/8/2012,5,0.512
7/8/2012,6,0.534
7/8/2012,7,0.509
7/8/2012,8,0.51
7/8/2012,9,1.088
7/8/2012,10,0.667
7/8/2012,11,0.718
7/8/2012,12,0.635
7/8/2012,13,0.975
7/8/2012,14,2.192
7/8/2012,15,0.488
7/8/2012,16,0.549
7/8/2012,17,1.752
7/8/2012,18,1.766
7/8/2012,19,1.731
7/8/2012,20,1.671
7/8/2012,21,1.592
7/8/2012,22,1.5
7/8/2012,23,1.399
7/9/2012,0,1.297
7/9/2012,1,1.198
7/9/2012,2,0.521
7/9/2012,3,0.548
7/9/2012,4,0.541
7/9/2012,5,0.626
7/9/2012,6,0.581
7/9/2012,7,0.564
7/9/2012,8,0.525
7/9/2012,9,1.008
7/9/2012,10,0.726
7/9/2012,11,0.744
7/9/2012,12,1.877
7/9/2012,13,0.9
7/9/2012,14,1.264
7/9/2012,15,1.089
7/9/2012,16,2.536
7/9/2012,17,2.979
7/9/2012,18,0
7/9/2012,19,2.327
7/9/2012,20,2.56
7/9/2012,21,2.034
7/9/2012,22,1.47
7/9/2012,23,0.921
7/10/2012,0,0.627
